model_name,provider,family,release_date,availability,architecture,training_paradigm,parameter_count_B,MMLU_PRO,IFEval,BBH,GPQA,MATH_Lvl_5,MuSR,chatbot_arena_elo,arena_votes,output_tokens_per_second,time_to_first_token_s,source_url,source_note,benchmark_observed,arena_observed,hardware_observed,release_year_month,collected_through,parameter_count_observed,chatbot_arena_elo_observed,hardware_metrics_observed,MMLU_PRO_norm,IFEval_norm,BBH_norm,GPQA_norm,MATH_Lvl_5_norm,MuSR_norm,Average_Score,Average_Score_norm,Elo_norm,Composite_Score,Score_per_Billion_Params,Hardware_Pareto_Index
Command A,Cohere,Command,2025-03-13,API/闭源,CommandRForCausalLM,原生预训练,111.0,67.1,84.0,75.1,51.5,57.2,56.9,1328.5,160000,25.0,0.95,https://cohere.com/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,False,True,2025-03,2026-06-05,True,False,True,0.6554878048780485,0.695238095238095,0.658273381294964,0.5632458233890215,0.5220588235294118,0.6326530612244897,65.3,0.6220139098881161,0.5403846153846154,0.601,0.588,0.956
ERNIE X1,Baidu,ERNIE,2025-03-16,API/闭源,ClosedAPI,推理强化,,70.5,85.5,78.6,59.6,69.2,62.0,1410.54,120000,32.0,0.9,https://yiyan.baidu.com/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,False,True,2025-03,2026-06-05,False,False,True,0.7591463414634145,0.7666666666666664,0.7841726618705036,0.7565632458233891,0.7426470588235294,0.7813411078717201,70.9,0.7913516782582404,0.8559230769230768,0.811,,0.785
Mistral Small 3.1 24B,Mistral AI,Mistral,2025-03-17,开放权重,MistralForCausalLM,指令微调,24.0,60.1,81.8,70.4,41.9,48.3,49.7,1328.0,210000,35.0,0.76,https://mistral.ai/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2025-03,2026-06-05,True,True,True,0.44207317073170727,0.59047619047619,0.4892086330935255,0.3341288782816229,0.35845588235294107,0.42274052478134116,58.7,0.4224372543090416,0.5384615384615384,0.48,2.446,0.868
Hunyuan T1,Tencent,Hunyuan,2025-03-21,API/闭源,ClosedAPI,推理强化,,69.8,85.2,77.6,58.0,67.8,61.6,1403.4,130000,39.0,0.74,https://hunyuan.tencent.com/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,False,True,2025-03,2026-06-05,False,False,True,0.7378048780487803,0.7523809523809523,0.7482014388489209,0.7183770883054893,0.7169117647058822,0.7696793002915452,70.0,0.7641366797701845,0.8284615384615388,0.785,,0.719
Gemini 2.5 Pro,Google,Gemini,2025-03-25,API/闭源,ClosedAPI,推理增强,,78.1,90.4,84.6,68.4,75.8,69.5,1448.0,780000,34.0,0.82,https://blog.google/technology/google-deepmind/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2025-03,2026-06-05,False,True,True,0.990853658536585,1.0,1.0,0.9665871121718379,0.863970588235294,1.0,77.8,1.0,1.0,1.0,,0.748
Llama 4 Maverick,Meta,Llama,2025-04-05,开放权重,LlamaForCausalLM,MoE/模型融合,400.0,72.5,87.6,79.0,57.0,66.4,62.4,1322.67,190000,8.0,2.4,https://ai.meta.com/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,False,True,2025-04,2026-06-05,True,False,True,0.820121951219512,0.8666666666666661,0.7985611510791368,0.694510739856802,0.6911764705882354,0.7930029154518949,70.82,0.7889325672815239,0.5179615384615387,0.702,0.177,1.244
Llama 4 Scout,Meta,Llama,2025-04-05,开放权重,LlamaForCausalLM,MoE/模型融合,109.0,68.2,84.8,75.5,51.0,60.2,57.0,1322.67,230000,24.0,1.05,https://ai.meta.com/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,False,True,2025-04,2026-06-05,True,False,True,0.6890243902439024,0.733333333333333,0.6726618705035973,0.5513126491646778,0.5772058823529411,0.6355685131195336,66.12,0.6468097973994559,0.5179615384615387,0.61,0.607,0.981
Kimi-VL,Moonshot AI,Kimi,2025-04-14,API/闭源,ClosedAPI,多模态推理,,68.8,85.0,76.2,55.5,61.4,59.2,1378.5,130000,31.0,0.94,https://www.moonshot.cn/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,False,True,2025-04,2026-06-05,False,False,True,0.7073170731707314,0.7428571428571425,0.6978417266187054,0.6587112171837709,0.5992647058823528,0.6997084548104957,67.68,0.6939824614454191,0.7326923076923076,0.712,,0.828
GPT-4.1,OpenAI,GPT-o,2025-04-14,API/闭源,ClosedAPI,原生预训练,,76.3,89.5,82.4,61.9,68.7,66.2,1429.0,690000,49.0,0.44,https://openai.com/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2025-04,2026-06-05,False,True,True,0.9359756097560973,0.9571428571428569,0.9208633093525184,0.81145584725537,0.7334558823529412,0.9037900874635569,74.17,0.8902328394315091,0.926923076923077,0.91,,0.597
GLM-Z1-Air,Zhipu AI,GLM,2025-04-14,开放权重,ChatGLMForCausalLM,推理蒸馏,32.0,63.2,82.0,72.4,50.1,62.8,55.7,1324.5,110000,34.0,0.86,https://www.zhipuai.cn/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,False,True,2025-04,2026-06-05,True,False,True,0.5365853658536585,0.5999999999999998,0.561151079136691,0.5298329355608593,0.6249999999999999,0.5976676384839651,64.37,0.5938917447837921,0.525,0.57,2.012,0.888
OpenAI o4-mini,OpenAI,GPT-o,2025-04-16,API/闭源,ClosedAPI,推理蒸馏,,73.9,87.6,79.1,62.4,71.8,64.7,1402.0,520000,58.0,0.55,https://openai.com/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2025-04,2026-06-05,False,True,True,0.8628048780487805,0.8666666666666661,0.802158273381295,0.8233890214797136,0.7904411764705882,0.8600583090379009,73.25,0.8624130631992744,0.823076923076923,0.849,,0.543
Gemini 2.5 Flash,Google,Gemini,2025-04-17,API/闭源,ClosedAPI,推理蒸馏,,72.2,88.8,79.4,60.8,68.5,64.1,1412.0,510000,96.0,0.32,https://blog.google/technology/google-deepmind/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2025-04,2026-06-05,False,True,True,0.8109756097560975,0.9238095238095234,0.8129496402877702,0.7852028639618138,0.7297794117647058,0.8425655976676383,72.3,0.833686120350771,0.8615384615384616,0.852,,0.205
Qwen3 235B-A22B,Alibaba,Qwen,2025-04-29,开放权重,Qwen3ForCausalLM,MoE/混合推理,235.0,72.8,88.0,80.5,61.2,70.6,64.5,1323.17,240000,14.0,1.86,https://qwenlm.github.io/blog/qwen3/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,False,True,2025-04,2026-06-05,True,False,True,0.8292682926829266,0.8857142857142855,0.8525179856115109,0.794749403341289,0.7683823529411763,0.8542274052478134,72.93,0.8527366192924103,0.5198846153846156,0.74,0.31,1.131
Qwen3 32B,Alibaba,Qwen,2025-04-29,开放权重,Qwen3ForCausalLM,混合推理,32.0,65.2,84.7,73.5,49.7,61.3,55.9,1379.0,330000,29.0,0.88,https://qwenlm.github.io/blog/qwen3/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2025-04,2026-06-05,True,True,True,0.5975609756097561,0.7285714285714284,0.6007194244604318,0.5202863961813844,0.5974264705882353,0.6034985422740524,65.05,0.6144541880858785,0.7346153846153847,0.668,2.033,0.841
Qwen3 8B,Alibaba,Qwen,2025-04-29,开放权重,Qwen3ForCausalLM,混合推理,8.0,59.8,82.4,70.3,42.6,55.9,50.1,1335.0,360000,64.0,0.5,https://qwenlm.github.io/blog/qwen3/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2025-04,2026-06-05,True,True,True,0.4329268292682925,0.6190476190476191,0.48561151079136694,0.3508353221957041,0.49816176470588225,0.43440233236151604,60.18,0.46719080737828855,0.5653846153846154,0.517,7.522,0.629
Claude Sonnet 4,Anthropic,Claude,2025-05-22,API/闭源,ClosedAPI,混合推理,,77.0,90.1,83.9,66.5,73.1,68.0,1442.0,690000,32.0,0.78,https://www.anthropic.com/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2025-05,2026-06-05,False,True,True,0.9573170731707316,0.9857142857142852,0.9748201438848925,0.9212410501193318,0.8143382352941175,0.956268221574344,76.43,0.9585727245237379,0.9769230769230769,0.968,,0.765
MiniMax-M1,MiniMax,MiniMax,2025-06-05,API/闭源,ClosedAPI,推理强化,,72.0,86.0,79.0,62.0,72.0,63.5,1410.17,90000,28.0,1.05,https://www.minimaxi.com/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,False,True,2025-06,2026-06-05,False,False,True,0.8048780487804876,0.7904761904761902,0.7985611510791368,0.8138424821002387,0.7941176470588235,0.8250728862973761,72.42,0.8373147868158454,0.8545000000000003,0.839,,0.832
