model_name,provider,family,release_date,availability,architecture,training_paradigm,parameter_count_B,MMLU_PRO,IFEval,BBH,GPQA,MATH_Lvl_5,MuSR,chatbot_arena_elo,arena_votes,output_tokens_per_second,time_to_first_token_s,source_url,source_note,benchmark_observed,arena_observed,hardware_observed,release_year_month,collected_through,parameter_count_observed,chatbot_arena_elo_observed,hardware_metrics_observed,MMLU_PRO_norm,IFEval_norm,BBH_norm,GPQA_norm,MATH_Lvl_5_norm,MuSR_norm,Average_Score,Average_Score_norm,Elo_norm,Composite_Score,Score_per_Billion_Params,Hardware_Pareto_Index
Command A,Cohere,Command,2025-03-13,API/闭源,CommandRForCausalLM,原生预训练,111.0,67.1,84.0,75.1,51.5,57.2,56.9,1328.5,160000,25.0,0.95,https://cohere.com/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,False,True,2025-03,2026-06-05,True,False,True,0.49768518518518506,0.5887096774193546,0.5414201183431953,0.35542168674698793,0.47972972972972977,0.4800884955752211,65.3,0.4618320610687023,0.44745222929936307,0.469,0.588,1.004
ERNIE X1,Baidu,ERNIE,2025-03-16,API/闭源,ClosedAPI,推理强化,,70.5,85.5,78.6,59.6,69.2,62.0,1410.49,120000,32.0,0.9,https://yiyan.baidu.com/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,False,True,2025-03,2026-06-05,False,False,True,0.576388888888889,0.6491935483870966,0.6449704142011834,0.47740963855421686,0.6824324324324325,0.5929203539823008,70.9,0.5875617422541538,0.7085668789808918,0.636,,0.825
Mistral Small 3.1 24B,Mistral AI,Mistral,2025-03-17,开放权重,MistralForCausalLM,指令微调,24.0,60.1,81.8,70.4,41.9,48.3,49.7,1328.0,210000,35.0,0.76,https://mistral.ai/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2025-03,2026-06-05,True,True,True,0.3356481481481482,0.4999999999999997,0.4023668639053257,0.2108433734939759,0.32939189189189183,0.32079646017699115,58.7,0.31365065110013485,0.445859872611465,0.379,2.446,0.921
Hunyuan T1,Tencent,Hunyuan,2025-03-21,API/闭源,ClosedAPI,推理强化,,69.8,85.2,77.6,58.0,67.8,61.6,1402.19,130000,39.0,0.74,https://hunyuan.tencent.com/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,False,True,2025-03,2026-06-05,False,False,True,0.5601851851851851,0.6370967741935484,0.6153846153846153,0.45331325301204817,0.6587837837837838,0.5840707964601769,70.0,0.567355186349349,0.6821337579617837,0.615,,0.767
Gemini 2.5 Pro,Google,Gemini,2025-03-25,API/闭源,ClosedAPI,推理增强,,78.1,90.4,84.6,68.4,75.8,69.5,1448.0,780000,34.0,0.82,https://blog.google/technology/google-deepmind/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2025-03,2026-06-05,False,True,True,0.7523148148148148,0.8467741935483872,0.8224852071005917,0.6099397590361446,0.7939189189189189,0.7588495575221238,77.8,0.7424786708576561,0.8280254777070064,0.783,,0.768
Llama 4 Maverick,Meta,Llama,2025-04-05,开放权重,LlamaForCausalLM,MoE/模型融合,400.0,72.5,87.6,79.0,57.0,66.4,62.4,1322.67,190000,8.0,2.4,https://ai.meta.com/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,False,True,2025-04,2026-06-05,True,False,True,0.6226851851851852,0.733870967741935,0.6568047337278108,0.4382530120481928,0.6351351351351352,0.6017699115044246,70.82,0.5857656039515042,0.4288853503184716,0.546,0.177,1.282
Llama 4 Scout,Meta,Llama,2025-04-05,开放权重,LlamaForCausalLM,MoE/模型融合,109.0,68.2,84.8,75.5,51.0,60.2,57.0,1322.67,230000,24.0,1.05,https://ai.meta.com/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,False,True,2025-04,2026-06-05,True,False,True,0.5231481481481483,0.6209677419354837,0.5532544378698226,0.34789156626506024,0.5304054054054054,0.48230088495575213,66.12,0.48024247867085784,0.4288853503184716,0.476,0.607,1.028
Kimi-VL,Moonshot AI,Kimi,2025-04-14,API/闭源,ClosedAPI,多模态推理,,68.8,85.0,76.2,55.5,61.4,59.2,1378.5,130000,31.0,0.94,https://www.moonshot.cn/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,False,True,2025-04,2026-06-05,False,False,True,0.537037037037037,0.629032258064516,0.5739644970414204,0.41566265060240964,0.5506756756756755,0.5309734513274336,67.68,0.5152671755725193,0.606687898089172,0.559,,0.877
GPT-4.1,OpenAI,GPT-o,2025-04-14,API/闭源,ClosedAPI,原生预训练,,76.3,89.5,82.4,61.9,68.7,66.2,1429.0,690000,49.0,0.44,https://openai.com/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2025-04,2026-06-05,False,True,True,0.7106481481481481,0.8104838709677418,0.7573964497041423,0.5120481927710843,0.6739864864864865,0.6858407079646017,74.17,0.660978895374944,0.767515923566879,0.713,,0.637
GLM-Z1-Air,Zhipu AI,GLM,2025-04-14,开放权重,ChatGLMForCausalLM,推理蒸馏,32.0,63.2,82.0,72.4,50.1,62.8,55.7,1324.5,110000,34.0,0.86,https://www.zhipuai.cn/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,False,True,2025-04,2026-06-05,True,False,True,0.4074074074074075,0.5080645161290321,0.46153846153846184,0.33433734939759036,0.5743243243243243,0.45353982300884954,64.37,0.4409519533004043,0.43471337579617836,0.445,2.012,0.94
OpenAI o4-mini,OpenAI,GPT-o,2025-04-16,API/闭源,ClosedAPI,推理蒸馏,,73.9,87.6,79.1,62.4,71.8,64.7,1402.0,520000,58.0,0.55,https://openai.com/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2025-04,2026-06-05,False,True,True,0.6550925925925928,0.733870967741935,0.6597633136094674,0.519578313253012,0.7263513513513513,0.6526548672566371,73.25,0.640323304894477,0.6815286624203821,0.664,,0.604
Gemini 2.5 Flash,Google,Gemini,2025-04-17,API/闭源,ClosedAPI,推理蒸馏,,72.2,88.8,79.4,60.8,68.5,64.1,1412.0,510000,96.0,0.32,https://blog.google/technology/google-deepmind/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2025-04,2026-06-05,False,True,True,0.6157407407407408,0.7822580645161288,0.6686390532544382,0.4954819277108433,0.6706081081081081,0.639380530973451,72.3,0.6189941625505164,0.7133757961783439,0.668,,0.324
Qwen3 235B-A22B,Alibaba,Qwen,2025-04-29,开放权重,Qwen3ForCausalLM,MoE/混合推理,235.0,72.8,88.0,80.5,61.2,70.6,64.5,1323.17,240000,14.0,1.86,https://qwenlm.github.io/blog/qwen3/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,False,True,2025-04,2026-06-05,True,False,True,0.6296296296296295,0.7499999999999999,0.7011834319526629,0.5015060240963856,0.706081081081081,0.6482300884955751,72.93,0.6331387516838799,0.43047770700636967,0.574,0.31,1.172
Qwen3 32B,Alibaba,Qwen,2025-04-29,开放权重,Qwen3ForCausalLM,混合推理,32.0,65.2,84.7,73.5,49.7,61.3,55.9,1379.0,330000,29.0,0.88,https://qwenlm.github.io/blog/qwen3/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2025-04,2026-06-05,True,True,True,0.4537037037037038,0.6169354838709677,0.4940828402366865,0.3283132530120482,0.5489864864864865,0.4579646017699114,65.05,0.4562191288729232,0.60828025477707,0.526,2.033,0.889
Qwen3 8B,Alibaba,Qwen,2025-04-29,开放权重,Qwen3ForCausalLM,混合推理,8.0,59.8,82.4,70.3,42.6,55.9,50.1,1335.0,360000,64.0,0.5,https://qwenlm.github.io/blog/qwen3/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2025-04,2026-06-05,True,True,True,0.32870370370370366,0.5241935483870969,0.3994082840236687,0.22138554216867473,0.45777027027027023,0.329646017699115,60.18,0.34687920969914693,0.4681528662420382,0.407,7.522,0.7
Claude Sonnet 4,Anthropic,Claude,2025-05-22,API/闭源,ClosedAPI,混合推理,,77.0,90.1,83.9,66.5,73.1,68.0,1442.0,690000,32.0,0.78,https://www.anthropic.com/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,True,True,2025-05,2026-06-05,False,True,True,0.7268518518518519,0.8346774193548383,0.8017751479289944,0.5813253012048193,0.7483108108108107,0.7256637168141592,76.43,0.7117198024247869,0.8089171974522293,0.758,,0.788
MiniMax-M1,MiniMax,MiniMax,2025-06-05,API/闭源,ClosedAPI,推理强化,,72.0,86.0,79.0,62.0,72.0,63.5,1410.13,90000,28.0,1.05,https://www.minimaxi.com/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,True,False,True,2025-06,2026-06-05,False,False,True,0.6111111111111112,0.6693548387096773,0.6568047337278108,0.5135542168674698,0.7297297297297297,0.6261061946902654,72.42,0.6216883700044905,0.7074203821656054,0.656,,0.869
Gemini 3.1 Pro,Google,Gemini,2026-02-19,API/闭源,ClosedAPI,核心推理升级,,88.5,93.5,89.4,94.3,86.6,79.0,1496.0,240000,28.0,0.98,https://blog.google/innovation-and-ai/models-and-research/gemini-models/gemini-3-1-pro/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,False,False,False,2026-02,2026-06-05,False,True,True,0.9930555555555556,0.971774193548387,0.9644970414201187,1.0,0.9763513513513512,0.9690265486725662,88.55,0.9838347552761563,0.9808917197452229,0.982,,0.814
Claude Opus 4.6,Anthropic,Claude,2026-02-23,API/闭源,ClosedAPI,长上下文/深度推理,,86.2,93.0,88.8,91.3,86.0,78.2,1490.0,230000,20.0,1.2,https://www.anthropic.com/news/claude-opus-4-6,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,False,False,False,2026-02,2026-06-05,False,True,True,0.939814814814815,0.9516129032258064,0.9467455621301776,0.9548192771084336,0.9662162162162162,0.9513274336283185,87.25,0.9546475078581051,0.9617834394904459,0.957,,0.903
GPT-5.5,OpenAI,GPT-o,2026-04-24,API/闭源,ClosedAPI,长程推理/工具使用,,88.8,94.2,90.6,93.6,88.0,80.4,1502.0,260000,32.0,0.92,https://openai.com/index/introducing-gpt-5-5/,公开榜单、模型发布资料与项目离线主流代表集整理；缺失指标在处理阶段标记并插补。,False,False,False,2026-04,2026-06-05,False,True,True,1.0,1.0,1.0,0.989457831325301,1.0,1.0,89.27,1.0,1.0,1.0,,0.773
